BUDGET 2024,DAY OF WEEK,DATE 9623.11,MONZO GENERAL,INCOME,NZ CREDIT CARD,HOUSE,MONZO SPENDING,MONZO BILLS,MONZO RENT + EXPENSES,MONZO SAVINGS,RENT DESPOSIT,STUDENT LOAN,NZ SAVINGS,PERSONAL SPENDING,NZ CREDIT CARD,,,,HOUSE,,MORTGAGE,RATES,BODY CORP,INCOME,TRANSFER,MONZO SPENDING,SPENDING,TRANSFER,MONZO BILLS,SUBSCRIPTIONS,TRANSFER,MONZO RENT + EXPENSES,,RENT,EXPENSES,TRANSFER,RENT DEPOSIT,DEPOSIT,STUDENT LOAN,,PAYMENT,TRANSFER,PERSONAL SPENDING,OLIVIA,RAY,TRANSFER,NZ SAVINGS,,TRANSFER,MONZO SAVINGS,,,TRANSFER,TOTAL SAVINGS,,"TOTAL MONEY
£","TOTAL MONEY
$"
,,FREQUENCY,RAY,"£	3,879.18",AS PER SECTION,AS PER SECTION,AS PER SECTION,AS PER SECTION,AS PER SECTION,,,30 SEPTEMBER + 31 MARCH,,AS PER SECTION,,,,,,,FORTNIGHTLY,QUARTERLY FEB/MAY/AUG/NOV,"BIANNUAL 31ST
JUNE & DECEMB","WEEKLY
(PAID MONTHLY)","MONTHLY 
(AVERAGE)",,,,,,,,,"MONTHLY
1ST","MONTHLY 
1ST","MONTHLY
1ST",,ONE OFF,,,BIANNUAL,BIANNUAL,,WEEKLY,WEEKLY,WEEKLY,,,N/A,,,,"MONTHLY
1ST",,,,
,,AMOUNT,OLIVIA,"£	4,204.19",£	0.00,£	892.20,£	500.00,£	146.20,"£	2,050.00","£	1,696.28","£	1,747.00","£	1,350.00",£	0.00,£	200.00,,,,,,,"US$	1,858.00",US$	672.03,"US$	2,407.00",US$	631.58,"US$	1,982.68",,£	500.00,£	500.00,,£	178.34,£	178.34,,,"£	1,800.00",£	250.00,"£	2,050.00",,"£	1,747.00",,,"US$	3,000.00","US$	3,000.00",,£	100.00,£	100.00,£	200.00,,,US$	0.00,,,,"£	1,696.28",NZD,GBP,,
,,,RAY,"£	3,879.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,OLIVIA,"£	4,120.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ SAVINGS,£	0,US$	0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ HOUSE,£	836,"US$	1,858",,Tax Return - O,"£	2,298.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ CREDIT CARD,£	0,US$	0,,Tax Return - R,"£	1,670.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY REVOLUT,£	0,£	0,,Total,"£	3,968.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVIA REVOLUT,£	0,,,Overspend,"£	1,811.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO GENERAL,"£	1,500",£	0,,Laptop,"£	1,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO SPENDING,£	0,,,Remaining,£	258.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO BILLS,£	52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO RENT,£	250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO NZ HOUSE,£	0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO STUDENT LOAN,£	0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONZO SAVINGS,"£	3,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENT DEPOSIT,"£	1,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLIVIA OWED,"£	1,000","US$	2,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY OWED,£	939,"US$	2,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRENT DAY,"£	11,502","£	(1,812)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURRENT DAY NZD,"US$	25,560.86","US$	(4,026)","£	1,500.00",,,,,,,,,,,,US$	0.00,,,,US$	0.00,,,,,,,£	(385.88),,,£	(57.46),,,£	0.00,,,,,£	0.00,,£	0.00,,,,£	(160.61),,,,US$	0.00,,,£	594.90,,,,,,,
CURRENT DAY,,,"£	1,500.00",,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	1,858.00",£	836.10,,,,,,£	0.00,,,£	51.78,,,£	250.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,"£	1,938.50",,,,US$	0.00,£	0.00,,"£	3,368.33",US$	0.00,,,US$	0.00,"£	3,368.33","£	9,690.71","US$	21,534.91"
,,July 31,"£	2,800.00","£	4,376.30",,£	(836.10),,£	(178.34),£	(250.00),£	(362.86),,,,,"US$	9,641.58",US$	(358.42),£	(161.29),US$	(358.42),"US$	3,705.68","£	1,667.56",,,,,"US$	1,858.00",£	155.51,£	(71.43),,£	178.46,,£	178.34,£	250.00,,,,£	250.00,"£	1,746.00",,US$	0.00,£	0.00,,US$	0.00,£	786.46,£	262.65,£	523.81,,US$	111.44,£	50.15,,£	430.95,US$	362.86,,£	362.86,US$	474.30,US$	481.10,"£	7,903.80","US$	17,563.99"
WEEK 2,Friday,August 1,"£	2,800.00",,,,,,,,,,,,"US$	9,641.58",US$	(358.42),£	(161.29),,"US$	5,876.23","£	2,644.30",,,,"US$	2,170.55",,£	84.08,£	(71.43),,£	172.52,£	(5.94),,£	0.00,,,£	(250.00),,"£	1,746.00",,US$	0.00,£	0.00,,,£	786.46,,,,US$	111.44,£	50.15,,£	430.95,US$	0.00,,£	0.00,US$	111.44,US$	481.10,"£	8,553.17","US$	19,007.04"
WEEK 2,Saturday,August 2,"£	2,800.00",,£	(161.29),£	161.29,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,US$	358.42,"US$	4,849.53","£	2,182.29",,US$	(672.03),,US$	3.75,US$	(358.42),£	12.65,£	(71.43),,£	166.57,£	(5.94),,£	0.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	786.46,,,,US$	111.44,£	50.15,,£	114.51,US$	0.00,£	(316.44),£	0.00,US$	111.44,US$	164.66,"£	7,858.63","US$	17,463.62"
WEEK 2,Sunday,August 3,"£	2,800.00",,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	4,849.53","£	2,182.29",,,,,,£	0.00,£	(12.65),,£	160.63,£	(5.94),,£	0.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	786.46,,,,US$	111.44,£	50.15,,£	114.51,US$	0.00,,£	0.00,US$	111.44,US$	164.66,"£	7,840.03","US$	17,422.29"
WEEK 1,Monday,August 4,"£	2,100.00",,,,£	(500.00),,,,,,,£	(200.00),"US$	10,000.00",US$	0.00,£	0.00,,"US$	4,849.53","£	2,182.29",,,,,,£	428.57,£	(71.43),£	500.00,£	154.68,£	(5.94),,£	0.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	786.46,£	(100.00),£	(100.00),£	200.00,US$	111.44,£	50.15,,£	114.51,US$	0.00,,£	0.00,US$	111.44,US$	164.66,"£	7,562.66","US$	16,805.91"
WEEK 1,Tuesday,August 5,"£	2,100.00",,,,,,,,,,,,"US$	10,000.00",US$	0.00,£	0.00,,"US$	4,849.53","£	2,182.29",,,,,,£	44.62,£	(383.95),,£	148.74,£	(5.94),,£	0.00,,,,,"£	1,746.00",,US$	0.00,£	0.00,,,£	686.46,£	(100.00),,,US$	111.44,£	50.15,,£	214.51,US$	0.00,£	100.00,£	0.00,US$	111.44,US$	264.66,"£	7,172.76","US$	15,939.47"
